teste,numartist
Alaska, 0
Hawaii, 0
Alabama,10
Arizona,8
Arkansas,18
California,165
Colorado,8
Connecticut,10
Delaware,1
Florida,37
Georgia,23
Idaho,1
Illinois,33
Indiana,6
Iowa,4
Kansas,16
Kentucky,9
Louisiana,31
Maine,1
Maryland,7
Massachusetts,23
Michigan,27
Minnesota,8
Mississippi,30
Missouri,21
Montana,1
Nebraska,4
Nevada,2
New Hampshire,5
New Jersey,21
New Mexico,1
New York,119
North Carolina,24
North Dakota,2
Ohio,21
Oklahoma,11
Oregon,5
Pennsylvania,33
Rhode Island,2
South Carolina,5
South Dakota,2
Tennessee,52
Texas,78
Utah,3
Vermont,1
Virginia,10
Washington,7
West Virginia,1
Wisconsin,8
Wyoming,1
